onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.71875,2.5802083,58,26,1,0,0,1.026042,0.0
2.040625,2.2583334,61,33,1,0,1,1.026042,0.0
2.4541667,1.8447917,61,27,1,0,2,1.026042,0.0
2.3229167,1.9760417,66,21,1,0,3,1.026042,0.0
2.6322916,1.6666666,58,27,1,0,4,1.026042,0.0
2.7552083,1.54375,61,37,1,0,5,2.755208,1.0
1.0260416,3.2729166,49,30,1,0,6,-10.0,-10.0
1.0,3.2989583,42,35,1,0,7,-10.0,-10.0
2.8895833,1.409375,58,39,1,0,8,2.755208,1.0
2.9854167,1.3135417,61,38,1,0,9,2.755208,1.0
1.0416666,3.2572916,70,44,1,0,10,1.026042,0.0
3.1197917,1.1791667,66,44,1,0,11,2.755208,1.0
3.2385416,1.0604167,61,37,1,0,12,2.755208,1.0
3.3416667,0.95729166,58,44,1,0,13,2.755208,1.0
3.68125,0.6177083,58,35,1,0,14,3.476042,2.0
3.8,0.49895832,61,45,1,0,15,3.476042,2.0
3.4760416,0.8229167,49,37,1,0,16,2.755208,1.0
3.4552083,0.84375,42,39,1,0,17,2.755208,1.0
3.4916666,0.8072917,70,63,1,0,18,3.476042,2.0
3.921875,0.37708333,66,40,1,0,19,3.476042,2.0
4.1458335,0.153125,58,45,1,0,20,3.476042,2.0
4.023958,0.309375,61,45,1,0,21,3.476042,2.0
4.446875,0.87604165,58,42,1,0,22,4.232292,3.0
4.555208,0.76770836,61,38,1,0,23,4.232292,3.0
4.272917,1.05,70,64,1,0,24,4.232292,3.0
4.2322917,1.090625,49,43,1,0,25,3.476042,2.0
4.68125,0.64166665,66,46,1,0,26,4.232292,3.0
4.821875,0.50104165,61,38,1,0,27,4.232292,3.0
4.215625,1.1072917,42,39,1,0,28,3.476042,2.0
4.954167,0.40520832,58,42,1,0,29,4.232292,3.0
5.6354165,3.184375,58,36,1,0,30,5.155208,4.0
5.7989583,3.0208333,63,40,1,0,31,5.155208,4.0
5.290625,3.5291667,70,54,1,0,32,5.155208,4.0
5.954167,2.865625,66,39,1,0,33,5.155208,4.0
6.109375,2.7104166,63,32,1,0,34,5.155208,4.0
6.2072916,2.6125,58,38,1,0,35,5.155208,4.0
6.3145833,2.5052083,63,34,1,0,36,6.314583,5.0
6.4708333,2.3489583,58,30,1,0,37,6.314583,5.0
6.54375,2.2760417,63,40,1,0,38,6.314583,5.0
