onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9739583,2.7541666,64,58,1,0,0,0.973958,0.0
2.04375,1.684375,64,58,1,0,1,2.04375,1.0
2.3885417,1.40625,64,55,1,0,2,2.04375,1.0
3.6927083,1.5375,65,54,1,0,3,3.692708,3.0
5.0583334,1.4395833,64,61,1,0,4,5.058333,4.0
6.382292,1.746875,60,44,1,0,5,6.382292,5.0
8.005208,7.382292,64,46,1,0,6,8.005208,6.0
11.501041,3.8864584,60,38,1,0,7,11.484375,8.0
11.486459,3.9010417,55,28,1,0,8,11.484375,8.0
11.482291,3.9052083,64,42,1,0,9,9.744791,7.0
11.465625,3.921875,48,35,1,0,10,9.744791,7.0
12.739583,2.6479166,55,38,1,0,11,12.738021,9.0
12.748959,2.6385417,60,40,1,0,12,12.738021,9.0
12.722917,2.6645834,64,46,1,0,13,11.484375,8.0
12.736459,2.6510417,48,31,1,0,14,11.484375,8.0
13.690625,1.696875,48,29,1,0,15,12.738021,9.0
13.709375,1.678125,55,29,1,0,16,12.738021,9.0
13.707292,1.6802083,60,32,1,0,17,12.738021,9.0
13.686459,1.7010417,64,48,1,0,18,12.738021,9.0
14.057292,1.3302083,60,30,1,0,19,14.05,10.0
14.066667,1.3208333,55,28,1,0,20,14.05,10.0
14.042708,1.3447917,48,25,1,0,21,12.738021,9.0
14.026042,1.3614583,64,54,1,0,22,12.738021,9.0
15.277083,1.4510417,60,35,1,0,23,14.05,10.0
15.277083,1.4510417,57,44,1,0,24,14.05,10.0
15.28125,1.478125,41,39,1,0,25,15.279166,11.0
16.671875,0.09583333,55,33,1,0,26,16.651562,12.0
15.286458,1.525,65,47,1,0,27,15.279166,11.0
16.657291,1.43125,60,36,1,0,28,16.651562,12.0
16.767708,1.3208333,55,11,1,0,29,16.651562,12.0
16.645834,1.4427084,36,35,1,0,30,15.279166,11.0
16.621876,1.5291667,64,52,1,0,31,15.279166,11.0
17.938541,1.7260417,60,49,1,0,32,17.938541,13.0
17.959375,1.7052083,57,38,1,0,33,17.938541,13.0
17.933332,1.7614583,41,37,1,0,34,16.651562,12.0
19.59375,2.809375,60,29,1,0,35,19.566147,14.0
19.5875,2.815625,55,20,1,0,36,19.566147,14.0
19.544792,2.8635416,36,34,1,0,37,17.938541,13.0
22.211458,2.734375,56,33,1,0,38,22.211458,15.0
22.190624,2.7552083,62,40,1,0,39,19.566147,14.0
19.534374,5.4114585,64,48,1,0,40,17.938541,13.0
22.223959,2.7854166,35,37,1,0,41,22.211458,15.0
24.971874,2.1520834,33,91,1,0,42,22.211458,15.0
24.996876,2.1270833,101,104,1,0,43,24.984375,16.0
25.189583,1.934375,98,55,1,0,44,24.984375,16.0
25.178125,1.9458333,96,79,1,0,45,24.984375,16.0
25.39375,1.7302083,93,82,1,0,46,24.984375,16.0
25.305208,1.81875,100,91,1,0,47,24.984375,16.0
25.4625,1.6614584,99,92,1,0,48,24.984375,16.0
25.55625,1.5677084,96,79,1,0,49,24.984375,16.0
25.721874,1.4020833,93,74,1,0,50,25.645313,17.0
25.636457,1.4875,98,91,1,0,51,24.984375,16.0
25.642708,1.48125,57,95,1,0,52,24.984375,16.0
25.647917,1.4760417,64,102,1,0,53,25.645313,17.0
25.776041,1.3479167,97,84,1,0,54,25.645313,17.0
25.647917,1.4760417,60,91,1,0,55,25.645313,17.0
25.853125,1.2708334,93,72,1,0,56,25.645313,17.0
25.959375,1.1645833,96,81,1,0,57,25.645313,17.0
26.052084,1.071875,60,83,1,0,58,25.645313,17.0
26.052084,1.071875,57,84,1,0,59,25.645313,17.0
26.052084,1.071875,64,94,1,0,60,25.645313,17.0
26.027082,1.096875,88,80,1,0,61,25.645313,17.0
26.140625,0.98333335,95,81,1,0,62,25.645313,17.0
26.228125,0.8958333,88,78,1,0,63,26.158854,18.0
26.31875,0.8052083,94,80,1,0,64,26.158854,18.0
26.161459,0.9625,57,88,1,0,65,26.158854,18.0
26.169792,0.95416665,60,90,1,0,66,26.158854,18.0
26.39375,0.73020834,84,75,1,0,67,26.158854,18.0
26.478125,0.6458333,93,84,1,0,68,26.158854,18.0
26.563541,0.56041664,88,83,1,0,69,26.158854,18.0
26.15625,0.96770835,64,101,1,0,70,25.645313,17.0
26.661459,0.4625,92,84,1,0,71,26.661457,19.0
26.747917,0.37604168,84,78,1,0,72,26.661457,19.0
26.666666,0.45729166,57,85,1,0,73,26.661457,19.0
26.830208,0.29375,91,86,1,0,74,26.661457,19.0
26.661459,0.4625,60,86,1,0,75,26.661457,19.0
26.911459,0.2125,84,78,1,0,76,26.661457,19.0
26.992708,0.13125,90,92,1,0,77,26.661457,19.0
27.069792,0.065625,81,77,1,0,78,26.661457,19.0
26.657291,0.50625,65,99,1,0,79,26.158854,18.0
27.145834,1.8385416,60,83,1,0,80,27.145832,20.0
27.240625,1.74375,84,76,1,0,81,27.145832,20.0
27.159374,1.825,89,90,1,0,82,27.145832,20.0
27.145834,1.8385416,57,82,1,0,83,27.145832,20.0
27.377083,1.6072917,81,67,1,0,84,27.145832,20.0
27.314583,1.6697917,88,78,1,0,85,27.145832,20.0
27.439583,1.5447917,87,84,1,0,86,27.145832,20.0
27.135416,1.8489584,64,94,1,0,87,26.661457,19.0
27.533333,1.4510417,84,68,1,0,88,27.145832,20.0
27.691668,1.2927083,81,68,1,0,89,27.610416,21.0
27.6125,1.371875,86,83,1,0,90,27.610416,21.0
27.615625,1.36875,57,81,1,0,91,27.610416,21.0
27.589582,1.3947917,60,94,1,0,92,27.145832,20.0
27.75625,1.228125,85,84,1,0,93,27.610416,21.0
27.834375,1.15,81,68,1,0,94,27.610416,21.0
27.9375,1.046875,84,78,1,0,95,27.610416,21.0
28.025,0.959375,76,68,1,0,96,27.610416,21.0
27.608334,1.3760417,52,80,1,0,97,27.145832,20.0
28.075,0.909375,64,90,1,0,98,28.075,22.0
28.075,0.909375,57,79,1,0,99,28.075,22.0
28.069792,0.9145833,60,80,1,0,100,27.610416,21.0
28.104166,0.8802083,83,78,1,0,101,28.075,22.0
28.171875,0.8125,76,67,1,0,102,28.075,22.0
28.276041,0.7083333,82,69,1,0,103,28.075,22.0
28.334375,0.65,72,75,1,0,104,28.075,22.0
28.408333,0.57604164,81,77,1,0,105,28.075,22.0
28.489584,0.49479166,76,71,1,0,106,28.075,22.0
28.5625,0.421875,80,82,1,0,107,28.5625,23.0
28.651041,0.33333334,72,69,1,0,108,28.5625,23.0
28.722918,0.26145834,79,75,1,0,109,28.5625,23.0
28.788542,0.19583334,72,67,1,0,110,28.5625,23.0
28.876041,0.11354167,78,74,1,0,111,28.5625,23.0
28.95625,0.055208333,69,61,1,0,112,28.5625,23.0
29.03125,0.93541664,33,51,1,0,113,28.5625,23.0
29.135416,0.83125,72,61,1,0,114,29.040625,24.0
29.05,0.9166667,77,70,1,0,115,29.040625,24.0
29.305208,0.6614583,69,47,1,0,116,29.040625,24.0
29.222918,0.74375,76,64,1,0,117,29.040625,24.0
29.352083,0.6145833,75,58,1,0,118,29.040625,24.0
29.441668,0.525,72,60,1,0,119,29.040625,24.0
29.575,0.39166668,69,49,1,0,120,29.514584,25.0
29.514584,0.45208332,74,57,1,0,121,29.514584,25.0
29.509375,0.45729166,52,72,1,0,122,29.040625,24.0
29.53125,0.43541667,45,65,1,0,123,29.514584,25.0
29.636457,0.33020833,73,63,1,0,124,29.514584,25.0
29.711458,0.25520834,69,56,1,0,125,29.514584,25.0
29.83125,0.13541667,72,55,1,0,126,29.514584,25.0
29.870832,0.09583333,45,55,1,0,127,29.514584,25.0
29.870832,0.09583333,52,65,1,0,128,29.514584,25.0
