xml_id	midi_id	track	channel	pitch	onset
n10	3	1	0	48	0.9427083333333334
n14	9	1	0	48	1.5156249999999996
n11	4	1	0	51	1.09375
n15	10	1	0	53	1.6744791666666663
n12	5	1	0	55	1.2213541666666667
n16	11	1	0	55	1.805989583333333
n17	12	1	0	59	1.9492187499999998
n13	7	1	0	60	1.3671874999999998
n1	0	1	0	67	0.5
n2	1	1	0	72	0.6432291666666666
n3	2	1	0	74	0.7838541666666666
n8	13	1	0	74	1.5065104166666663
n6	6	1	0	75	0.92578125
n9	14	1	0	75	1.9570312499999998
n7	8	1	0	77	1.3645833333333333
n24	15	1	0	48	2.1119791666666665
n25	16	1	0	51	2.256510416666667
n26	17	1	0	55	2.3997395833333335
n27	19	1	0	60	2.545572916666667
n18	18	1	0	72	2.1236979166666665
n31	28	1	0	62	3.1393229166666683
n28	20	1	0	63	2.709635416666667
n30	26	1	0	63	3.001302083333335
n29	24	1	0	67	2.8645833333333344
n21	23	1	0	71	2.8723958333333344
n20	22	1	0	72	2.7161458333333335
n22	25	1	0	72	2.9960937500000013
n19	21	1	0	74	2.686197916666667
n23	27	1	0	74	3.1080729166666683
n39	30	1	0	60	3.2630208333333344
n41	34	1	0	60	3.5299479166666674
n42	35	1	0	63	3.523437500000001
n40	32	1	0	67	3.3789062500000013
n43	37	1	0	67	3.664062500000001
n34	33	1	0	74	3.393229166666668
n33	31	1	0	75	3.260416666666668
n35	36	1	0	75	3.5169270833333344
n32	29	1	0	77	3.2460937500000013
n36	38	1	0	77	3.6705729166666674
n47	44	1	0	56	4.134114583333333
n44	40	1	0	59	3.8020833333333344
n48	45	1	0	60	4.114583333333333
n45	41	1	0	62	3.8111979166666674
n46	42	1	0	67	3.9388020833333335
n49	46	1	0	67	4.263020833333332
n37	39	1	0	79	3.800781250000001
n38	43	1	0	79	4.08984375
n53	47	1	0	55	4.484374999999998
n54	48	1	0	59	4.643229166666665
n55	49	1	0	62	4.791666666666666
n56	50	1	0	67	4.911458333333332
n50	51	1	0	79	4.467447916666665
n57	52	1	0	55	5.055989583333332
n58	53	1	0	59	5.186197916666665
n59	55	1	0	62	5.343749999999998
n60	57	1	0	67	5.451822916666665
n51	54	1	0	77	5.319010416666665
n52	56	1	0	79	5.447916666666665
n67	60	1	0	53	5.631510416666665
n68	61	1	0	56	5.813802083333331
n69	62	1	0	59	5.957031249999997
n70	63	1	0	62	6.089843749999997
n61	58	1	0	77	5.598958333333332
n62	59	1	0	79	5.658854166666665
n63	64	1	0	80	5.730468749999998
n71	66	1	0	53	6.256510416666664
n72	67	1	0	56	6.385416666666664
n73	69	1	0	59	6.498697916666664
n74	71	1	0	62	6.640624999999997
n64	65	1	0	74	6.227864583333331
n65	68	1	0	75	6.515624999999997
n66	70	1	0	77	6.644531249999997
n81	73	1	0	51	6.835937499999997
n82	75	1	0	55	6.967447916666664
n83	76	1	0	60	7.10677083333333
n84	77	1	0	63	7.22395833333333
n75	72	1	0	75	6.804687499999997
n76	74	1	0	77	6.861979166666664
n77	78	1	0	79	6.920572916666664
n85	80	1	0	56	7.374999999999997
n86	81	1	0	60	7.519531249999997
n87	83	1	0	63	7.662760416666664
n88	84	1	0	66	7.795572916666664
n78	79	1	0	72	7.390624999999997
n79	82	1	0	72	7.673177083333331
n80	85	1	0	74	7.794270833333331
n95	87	1	0	55	7.929687499999997
n96	88	1	0	60	8.066406249999998
n97	89	1	0	63	8.194010416666664
n98	92	1	0	67	8.325520833333332
n89	86	1	0	75	7.933593749999997
n90	90	1	0	75	8.218749999999998
n91	91	1	0	77	8.346354166666666
n99	94	1	0	55	8.5
n100	95	1	0	59	8.640625
n101	96	1	0	62	8.778645833333334
n102	98	1	0	67	8.925781250000002
n92	93	1	0	74	8.479166666666666
n93	97	1	0	74	8.791666666666668
n94	99	1	0	75	8.925781250000002
n108	100	1	0	48	9.231770833333336
n109	102	1	0	51	9.378906250000002
n110	103	1	0	55	9.513020833333336
n103	101	1	0	72	9.085937500000002
n111	104	1	0	60	9.673177083333336
n105	105	1	0	77	9.970052083333336
n106	106	1	0	79	10.093750000000002
n119	107	1	0	41	10.433593750000002
n120	108	1	0	47	10.591145833333336
n121	109	1	0	50	10.720052083333337
